Price,Close,High,Low,Open,Volume,Daily_Return,SMA_20,SMA_50
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,
Date,,,,,,,,
2024-11-13,330.239990234375,344.6000061035156,322.5,335.8500061035156,125405600,0.005327407385385952,265.49049911499026,248.47579956054688
2024-11-14,311.17999267578125,329.9800109863281,310.3699951171875,327.69000244140625,120726100,-0.05771559508909463,270.0049987792969,250.0959994506836
2024-11-15,320.7200012207031,324.67999267578125,309.2200012207031,310.57000732421875,114440300,0.030657525449785616,275.0059989929199,252.29579956054687
2024-11-18,338.739990234375,348.54998779296875,330.010009765625,340.7300109863281,126085600,0.056186046847983784,281.00049819946287,254.74519927978517
2024-11-19,346.0,347.3800048828125,332.75,335.760009765625,88852500,0.021432396454288627,287.40199813842776,257.14179931640626
2024-11-20,342.0299987792969,346.6000061035156,334.29998779296875,345.0,66340700,-0.011473991967350106,293.82099838256835,259.41979919433595
2024-11-21,339.6400146484375,347.989990234375,335.2799987792969,343.80999755859375,58011700,-0.006987644766217049,297.7789985656738,261.6163995361328
2024-11-22,352.55999755859375,361.5299987792969,337.70001220703125,341.0899963378906,89140700,0.038040225983177356,301.9474983215332,264.06179962158205
2024-11-25,338.5899963378906,361.92999267578125,338.20001220703125,360.1400146484375,95890900,-0.039624464821427674,305.75149765014646,266.2979995727539
2024-11-26,338.2300109863281,346.9599914550781,335.6600036621094,341.0,62295900,-0.001063189566898104,309.6869987487793,268.50519989013674
2024-11-27,332.8900146484375,342.54998779296875,326.5899963378906,341.79998779296875,57896400,-0.015788061864523528,313.45400009155276,270.61900024414064
2024-11-29,345.1600036621094,345.45001220703125,334.6499938964844,336.0799865722656,37167600,0.03685898787510977,318.2194999694824,272.64380035400393
2024-12-02,357.0899963378906,360.0,351.1499938964844,352.3800048828125,77986500,0.034563659025395044,323.625,275.0206002807617
2024-12-03,351.4200134277344,355.69000244140625,348.20001220703125,351.79998779296875,58267200,-0.01587830229999254,329.0540008544922,277.0490005493164
2024-12-04,357.92999267578125,358.1000061035156,348.6000061035156,353.0,50810900,0.018524782309774723,334.3785003662109,279.1222003173828
2024-12-05,369.489990234375,375.42999267578125,359.5,359.8699951171875,81403600,0.03229681165351517,338.42649993896487,281.37160034179686
2024-12-06,389.2200012207031,389.489990234375,370.79998779296875,377.4200134277344,81455800,0.053397958017247005,343.04199981689453,284.07160034179685
2024-12-09,389.7900085449219,404.79998779296875,378.010009765625,397.6099853515625,96359200,0.0014644862094215227,346.47050018310546,286.65820068359375
2024-12-10,400.989990234375,409.7300109863281,390.8500061035156,392.67999267578125,97563600,0.02873337295448497,349.0199996948242,289.445400390625
